Publication Title,Publication Year,CTA,Stakeholders,Query,Title,URL,Snippet,Source Date
Heritable Human Genome Editing,2023,"Recommendation 1: No attempt to establish a pregnancy with a human embryo that has undergone genome editing should proceed unless and until it has been clearly established that it is possible to efficiently and reliably make precise genomic changes without undesired changes in human embryos. These criteria have not yet been met, and further research and review would be necessary to meet them.","Researchers in gene editing and reproductive biology
   Ethics review boards (IRBs) and regulatory agencies (e.g., FDA)
   Patients and prospective parents considering gene editing for reproductive purposes
   Bioethicists and legal scholars
   Policymakers and legislators involved in funding or regulating gene editing research
   International organizations involved in setting ethical guidelines for research (e.g., WHO)
   General public interested in the ethical implications of gene editing",site:who.int gene editing pregnancy ethical considerations,dignity,https://apps.who.int/iris/bitstream/handle/10665/259687/WHO-HTM-NTD-VEM-2017.07-eng.pdf,during pregnancy and the perinatal period. Some interventions are known to ... Ethical considerations for Zika virus human challenge trials: report and ...,
Heritable Human Genome Editing,2023,"Recommendation 1: No attempt to establish a pregnancy with a human embryo that has undergone genome editing should proceed unless and until it has been clearly established that it is possible to efficiently and reliably make precise genomic changes without undesired changes in human embryos. These criteria have not yet been met, and further research and review would be necessary to meet them.","Researchers in gene editing and reproductive biology
   Ethics review boards (IRBs) and regulatory agencies (e.g., FDA)
   Patients and prospective parents considering gene editing for reproductive purposes
   Bioethicists and legal scholars
   Policymakers and legislators involved in funding or regulating gene editing research
   International organizations involved in setting ethical guidelines for research (e.g., WHO)
   General public interested in the ethical implications of gene editing",site:who.int gene editing pregnancy ethical considerations,ETHICS AND GOVERNANCE OF ARTIFICIAL INTELLIGENCE FOR ...,https://iris.who.int/bitstream/handle/10665/341996/9789240029200-eng.pdf,"adolescent pregnancy, a public health objective, and a tool to prevent school dropout. ... wish to integrate ethical considerations into their work.",
Heritable Human Genome Editing,2023,"Recommendation 1: No attempt to establish a pregnancy with a human embryo that has undergone genome editing should proceed unless and until it has been clearly established that it is possible to efficiently and reliably make precise genomic changes without undesired changes in human embryos. These criteria have not yet been met, and further research and review would be necessary to meet them.","Researchers in gene editing and reproductive biology
   Ethics review boards (IRBs) and regulatory agencies (e.g., FDA)
   Patients and prospective parents considering gene editing for reproductive purposes
   Bioethicists and legal scholars
   Policymakers and legislators involved in funding or regulating gene editing research
   International organizations involved in setting ethical guidelines for research (e.g., WHO)
   General public interested in the ethical implications of gene editing",site:who.int gene editing pregnancy ethical considerations,Ethics and vector-borne diseases: WHO guidance,https://iris.who.int/bitstream/handle/10665/336075/9789240012738-eng.pdf,"Ethical considerations in biomedical HIV prevention trials. UNAIDS/WHO ... int/malaria/areas/high_risk_groups/pregnancy/en/, accessed 15 July 2020).",
Heritable Human Genome Editing,2023,"Recommendation 1: No attempt to establish a pregnancy with a human embryo that has undergone genome editing should proceed unless and until it has been clearly established that it is possible to efficiently and reliably make precise genomic changes without undesired changes in human embryos. These criteria have not yet been met, and further research and review would be necessary to meet them.","Researchers in gene editing and reproductive biology
   Ethics review boards (IRBs) and regulatory agencies (e.g., FDA)
   Patients and prospective parents considering gene editing for reproductive purposes
   Bioethicists and legal scholars
   Policymakers and legislators involved in funding or regulating gene editing research
   International organizations involved in setting ethical guidelines for research (e.g., WHO)
   General public interested in the ethical implications of gene editing",site:who.int gene editing pregnancy ethical considerations,Guidance framework for testing genetically modified mosquitoes ...,https://apps.who.int/iris/bitstream/handle/10665/341370/9789240025233-eng.pdf?s,"Nov 5, 1999 ... Ethical considerations ... of gene drives, gene editing, synthetic biology, and bio-security and related matters.",
Heritable Human Genome Editing,2023,"Recommendation 1: No attempt to establish a pregnancy with a human embryo that has undergone genome editing should proceed unless and until it has been clearly established that it is possible to efficiently and reliably make precise genomic changes without undesired changes in human embryos. These criteria have not yet been met, and further research and review would be necessary to meet them.","Researchers in gene editing and reproductive biology
   Ethics review boards (IRBs) and regulatory agencies (e.g., FDA)
   Patients and prospective parents considering gene editing for reproductive purposes
   Bioethicists and legal scholars
   Policymakers and legislators involved in funding or regulating gene editing research
   International organizations involved in setting ethical guidelines for research (e.g., WHO)
   General public interested in the ethical implications of gene editing",site:who.int gene editing pregnancy ethical considerations,WHO Expert Committee on Biological Standardization: seventy ...,https://iris.who.int/bitstream/handle/10665/373128/9789240078116-eng.pdf?sequence=1,"during pregnancy or pregnancy is confirmed soon after mAb administration, ... Gene editing: a method which allows for genetic material to be added, removed ...",
Heritable Human Genome Editing,2023,"Recommendation 2: Extensive societal dialogue should be undertaken before
a country makes a decision on whether to permit clinical use of heritable human
genome editing (HHGE). The clinical use of HHGE raises not only scientific and
medical considerations but also societal and ethical issues that were beyond the
Commission’s charge.","General Public: Impacted by ethical and societal implications.
   Scientists and Researchers: Involved in the development and application of HHGE technologies.
   Medical Professionals: Responsible for potential clinical implementation of HHGE.
   Ethicists and Bioethicists: Analyzing the ethical considerations and providing guidance.
   Policymakers and Regulators: Developing policies and regulations governing HHGE.
   Patients and Families: Who may potentially benefit from or be affected by HHGE.
   International Organizations (e.g., WHO): Providing global guidelines and coordinating international discussions.
   Religious Leaders/Organizations: Offering perspectives based on religious beliefs.
   Legal Experts: Advising on legal ramifications.",site:nih.gov heritable human genome editing societal ethical implications dialogue,Making sense of heritable human genome editing: Scientific and ...,https://pubmed.ncbi.nlm.nih.gov/34175039/,"Making sense of heritable human genome editing: Scientific and ethical considerations ... social, ethical and political issues. This review will consider ...",
Heritable Human Genome Editing,2023,"Recommendation 2: Extensive societal dialogue should be undertaken before
a country makes a decision on whether to permit clinical use of heritable human
genome editing (HHGE). The clinical use of HHGE raises not only scientific and
medical considerations but also societal and ethical issues that were beyond the
Commission’s charge.","General Public: Impacted by ethical and societal implications.
   Scientists and Researchers: Involved in the development and application of HHGE technologies.
   Medical Professionals: Responsible for potential clinical implementation of HHGE.
   Ethicists and Bioethicists: Analyzing the ethical considerations and providing guidance.
   Policymakers and Regulators: Developing policies and regulations governing HHGE.
   Patients and Families: Who may potentially benefit from or be affected by HHGE.
   International Organizations (e.g., WHO): Providing global guidelines and coordinating international discussions.
   Religious Leaders/Organizations: Offering perspectives based on religious beliefs.
   Legal Experts: Advising on legal ramifications.",site:nih.gov heritable human genome editing societal ethical implications dialogue,What if should precede whether and how in the social ...,https://pmc.ncbi.nlm.nih.gov/articles/PMC10444910/,Given the potential large ethical and societal implications of human ... Heritable human genome editing. The National Academies Press. https://nap ...,
Heritable Human Genome Editing,2023,"Recommendation 2: Extensive societal dialogue should be undertaken before
a country makes a decision on whether to permit clinical use of heritable human
genome editing (HHGE). The clinical use of HHGE raises not only scientific and
medical considerations but also societal and ethical issues that were beyond the
Commission’s charge.","General Public: Impacted by ethical and societal implications.
   Scientists and Researchers: Involved in the development and application of HHGE technologies.
   Medical Professionals: Responsible for potential clinical implementation of HHGE.
   Ethicists and Bioethicists: Analyzing the ethical considerations and providing guidance.
   Policymakers and Regulators: Developing policies and regulations governing HHGE.
   Patients and Families: Who may potentially benefit from or be affected by HHGE.
   International Organizations (e.g., WHO): Providing global guidelines and coordinating international discussions.
   Religious Leaders/Organizations: Offering perspectives based on religious beliefs.
   Legal Experts: Advising on legal ramifications.",site:nih.gov heritable human genome editing societal ethical implications dialogue,Heritable Human Genome Editing,https://pubmed.ncbi.nlm.nih.gov/32897669/,"Sep 3, 2020 ... Heritable human genome editing — making changes to the genetic ... considerations but also a host of ethical, moral, and societal issues.",
Heritable Human Genome Editing,2023,"Recommendation 2: Extensive societal dialogue should be undertaken before
a country makes a decision on whether to permit clinical use of heritable human
genome editing (HHGE). The clinical use of HHGE raises not only scientific and
medical considerations but also societal and ethical issues that were beyond the
Commission’s charge.","General Public: Impacted by ethical and societal implications.
   Scientists and Researchers: Involved in the development and application of HHGE technologies.
   Medical Professionals: Responsible for potential clinical implementation of HHGE.
   Ethicists and Bioethicists: Analyzing the ethical considerations and providing guidance.
   Policymakers and Regulators: Developing policies and regulations governing HHGE.
   Patients and Families: Who may potentially benefit from or be affected by HHGE.
   International Organizations (e.g., WHO): Providing global guidelines and coordinating international discussions.
   Religious Leaders/Organizations: Offering perspectives based on religious beliefs.
   Legal Experts: Advising on legal ramifications.",site:nih.gov heritable human genome editing societal ethical implications dialogue,The need to set explicit goals for human germline gene editing ...,https://pmc.ncbi.nlm.nih.gov/articles/PMC11217238/,"May 8, 2024 ... The potentially large ethical and societal implications urge ... Heritable Human Genome Editing: The Need for Course Correction.",
Heritable Human Genome Editing,2023,"Recommendation 2: Extensive societal dialogue should be undertaken before
a country makes a decision on whether to permit clinical use of heritable human
genome editing (HHGE). The clinical use of HHGE raises not only scientific and
medical considerations but also societal and ethical issues that were beyond the
Commission’s charge.","General Public: Impacted by ethical and societal implications.
   Scientists and Researchers: Involved in the development and application of HHGE technologies.
   Medical Professionals: Responsible for potential clinical implementation of HHGE.
   Ethicists and Bioethicists: Analyzing the ethical considerations and providing guidance.
   Policymakers and Regulators: Developing policies and regulations governing HHGE.
   Patients and Families: Who may potentially benefit from or be affected by HHGE.
   International Organizations (e.g., WHO): Providing global guidelines and coordinating international discussions.
   Religious Leaders/Organizations: Offering perspectives based on religious beliefs.
   Legal Experts: Advising on legal ramifications.",site:nih.gov heritable human genome editing societal ethical implications dialogue,Heritable Human Genome Editing - NCBI Bookshelf,https://www.ncbi.nlm.nih.gov/books/NBK561519/,"Sep 3, 2020 ... Heritable human genome editing — making changes to the genetic ... considerations but also a host of ethical, moral, and societal issues.",
